huc2,id,lon,lat
00,245202,-116.78125,52.09375
00,245203,-116.78125,52.15625
00,245204,-116.78125,52.21875
00,245205,-116.78125,52.28125
00,245206,-116.71875,51.84375
00,245207,-116.71875,51.90625
00,245208,-116.71875,51.96875
00,245209,-116.71875,52.03125
00,245210,-116.71875,52.09375
00,245211,-116.71875,52.15625
00,245212,-116.71875,52.21875
00,245213,-116.71875,52.28125
00,245214,-116.71875,52.34375
00,245215,-116.65625,51.84375
00,245216,-116.65625,51.90625
00,245217,-116.65625,51.96875
00,245218,-116.65625,52.03125
00,245219,-116.65625,52.09375
00,245220,-116.65625,52.15625
00,245221,-116.65625,52.21875
00,245222,-116.65625,52.28125
00,245223,-116.59375,51.71875
00,245224,-116.59375,51.78125
00,245225,-116.59375,51.84375
00,245226,-116.59375,51.90625
00,245227,-116.59375,51.96875
00,245228,-116.59375,52.03125
00,245229,-116.59375,52.09375
00,245230,-116.59375,52.15625
00,245231,-116.59375,52.21875
00,245232,-116.59375,52.28125
00,245233,-116.53125,51.65625
00,245234,-116.53125,51.71875
00,245235,-116.53125,51.78125
00,245236,-116.53125,51.84375
00,245237,-116.53125,51.90625
00,245238,-116.53125,51.96875
00,245239,-116.53125,52.03125
00,245240,-116.53125,52.09375
00,245241,-116.53125,52.15625
00,245242,-116.53125,52.21875
00,245243,-116.46875,51.78125
00,245244,-116.46875,51.84375
00,245245,-116.46875,51.90625
00,245246,-116.46875,51.96875
00,245247,-116.46875,52.03125
00,245248,-116.46875,52.09375
00,245249,-116.46875,52.15625
00,245250,-116.46875,52.21875
00,245251,-116.46875,52.28125
00,245252,-116.40625,51.71875
00,245253,-116.40625,51.78125
00,245254,-116.40625,51.84375
00,245255,-116.40625,51.90625
00,245256,-116.40625,51.96875
00,245257,-116.40625,52.03125
00,245258,-116.40625,52.09375
00,245259,-116.40625,52.15625
00,245260,-116.40625,52.21875
00,245261,-116.40625,52.28125
00,245262,-116.40625,52.34375
00,245263,-116.34375,51.71875
00,245264,-116.34375,51.78125
00,245265,-116.34375,51.84375
00,245266,-116.34375,51.90625
00,245267,-116.34375,51.96875
00,245268,-116.34375,52.03125
00,245269,-116.34375,52.09375
00,245270,-116.34375,52.15625
00,245271,-116.34375,52.21875
00,245272,-116.34375,52.28125
00,245273,-116.28125,51.71875
00,245274,-116.28125,51.84375
00,245275,-116.28125,51.90625
00,245276,-116.28125,51.96875
00,245277,-116.28125,52.03125
00,245278,-116.28125,52.21875
00,245279,-116.21875,51.84375
00,245280,-116.21875,51.96875
00,245281,-116.15625,51.96875
00,245282,-116.28125,51.78125
00,245283,-116.21875,51.71875
00,245284,-116.21875,51.78125
00,245285,-116.15625,51.71875
